location_id,zone_name,borough,total_trips,avg_trips_per_hour,data_points,zone_type
1,Newark Airport,EWR,3604.0,1.7554797856794935,2053,MEDIUM_DATA
2,Jamaica Bay,Queens,46.0,1.0952380952380953,42,LOW_DATA
3,Allerton/Pelham Gardens,Bronx,3041.0,1.4324069712670748,2123,MEDIUM_DATA
4,Alphabet City,Manhattan,97116.0,17.058844194624978,5693,HIGH_DATA
5,Arden Heights,Staten Island,11.0,1.0,11,LOW_DATA
6,Arrochar/Fort Wadsworth,Staten Island,768.0,1.106628242074928,694,LOW_DATA
7,Astoria,Queens,62179.0,10.87425673312347,5718,HIGH_DATA
8,Astoria Park,Queens,392.0,1.1461988304093567,342,LOW_DATA
9,Auburndale,Queens,1350.0,1.1946902654867257,1130,LOW_DATA
10,Baisley Park,Queens,16071.0,3.2684563758389262,4917,MEDIUM_DATA
11,Bath Beach,Brooklyn,2342.0,1.325410299943407,1767,LOW_DATA
12,Battery Park,Manhattan,12646.0,4.2679716503543705,2963,MEDIUM_DATA
13,Battery Park City,Manhattan,202527.0,36.77628472852733,5507,HIGH_DATA
14,Bay Ridge,Brooklyn,13447.0,2.891827956989247,4650,MEDIUM_DATA
15,Bay Terrace/Fort Totten,Queens,1174.0,1.1716566866267466,1002,LOW_DATA
16,Bayside,Queens,2385.0,1.3996478873239437,1704,LOW_DATA
17,Bedford,Brooklyn,31533.0,5.916135084427768,5330,HIGH_DATA
18,Bedford Park,Bronx,6546.0,1.9179607383533548,3413,MEDIUM_DATA
19,Bellerose,Queens,3339.0,1.4523705959112658,2299,MEDIUM_DATA
20,Belmont,Bronx,3698.0,1.4738939816660024,2509,MEDIUM_DATA
21,Bensonhurst East,Brooklyn,4127.0,1.5739893211289093,2622,MEDIUM_DATA
22,Bensonhurst West,Brooklyn,6142.0,1.9430559949383106,3161,MEDIUM_DATA
23,Bloomfield/Emerson Hill,Staten Island,251.0,1.0502092050209204,239,LOW_DATA
24,Bloomingdale,Manhattan,85639.0,15.176147439305334,5643,HIGH_DATA
25,Boerum Hill,Brooklyn,36913.0,6.906080449017773,5345,HIGH_DATA
26,Borough Park,Brooklyn,8660.0,2.3628922237380627,3665,MEDIUM_DATA
27,Breezy Point/Fort Tilden/Riis Beach,Queens,328.0,1.1590106007067138,283,LOW_DATA
28,Briarwood/Jamaica Hills,Queens,10078.0,2.3448115402512797,4298,MEDIUM_DATA
29,Brighton Beach,Brooklyn,4147.0,1.6129910540645662,2571,MEDIUM_DATA
30,Broad Channel,Queens,189.0,1.0216216216216216,185,LOW_DATA
31,Bronx Park,Bronx,846.0,1.2068473609129815,701,LOW_DATA
32,Bronxdale,Bronx,3773.0,1.5244444444444445,2475,MEDIUM_DATA
33,Brooklyn Heights,Brooklyn,40341.0,7.8791015625,5120,HIGH_DATA
34,Brooklyn Navy Yard,Brooklyn,5093.0,2.341609195402299,2175,MEDIUM_DATA
35,Brownsville,Brooklyn,20914.0,4.171120861587555,5014,MEDIUM_DATA
36,Bushwick North,Brooklyn,29347.0,6.007574206755374,4885,HIGH_DATA
37,Bushwick South,Brooklyn,43714.0,8.095185185185185,5400,HIGH_DATA
38,Cambria Heights,Queens,2932.0,1.431640625,2048,MEDIUM_DATA
39,Canarsie,Brooklyn,25259.0,4.969309462915601,5083,MEDIUM_DATA
40,Carroll Gardens,Brooklyn,12033.0,2.9814172447968286,4036,MEDIUM_DATA
41,Central Harlem,Manhattan,137078.0,23.872866597004528,5742,HIGH_DATA
42,Central Harlem North,Manhattan,89954.0,15.682357043235704,5736,HIGH_DATA
43,Central Park,Manhattan,416241.0,74.94436442203818,5554,HIGH_DATA
44,Charleston/Tottenville,Staten Island,30.0,1.1111111111111112,27,LOW_DATA
45,Chinatown,Manhattan,68278.0,12.588126843657816,5424,HIGH_DATA
46,City Island,Bronx,539.0,1.1347368421052633,475,LOW_DATA
47,Claremont/Bathgate,Bronx,5520.0,1.7363950927964769,3179,MEDIUM_DATA
48,Clinton East,Manhattan,758239.0,130.035842908592,5831,HIGH_DATA
49,Clinton Hill,Brooklyn,26679.0,5.2913526378421265,5042,HIGH_DATA
50,Clinton West,Manhattan,210798.0,36.50181818181818,5775,HIGH_DATA
51,Co-Op City,Bronx,8310.0,2.2106943335993616,3759,MEDIUM_DATA
52,Cobble Hill,Brooklyn,11529.0,2.873629112662014,4012,MEDIUM_DATA
53,College Point,Queens,2882.0,1.419704433497537,2030,MEDIUM_DATA
54,Columbia Street,Brooklyn,3385.0,1.595945308816596,2121,MEDIUM_DATA
55,Coney Island,Brooklyn,8907.0,2.3969321851453174,3716,MEDIUM_DATA
56,Corona,Queens,9234.0,2.4134866701515945,3826,MEDIUM_DATA
57,Corona,Queens,769.0,1.351493848857645,569,LOW_DATA
58,Country Club,Bronx,399.0,1.0611702127659575,376,LOW_DATA
59,Crotona Park,Bronx,199.0,1.052910052910053,189,LOW_DATA
60,Crotona Park East,Bronx,4504.0,1.618397412863816,2783,MEDIUM_DATA
61,Crown Heights North,Brooklyn,55437.0,9.938508425959125,5578,HIGH_DATA
62,Crown Heights South,Brooklyn,15860.0,3.308302044221944,4794,MEDIUM_DATA
63,Cypress Hills,Brooklyn,11081.0,2.5787758901559226,4297,MEDIUM_DATA
64,Douglaston,Queens,1292.0,1.250726040658277,1033,LOW_DATA
65,Downtown Brooklyn/MetroTech,Brooklyn,41886.0,7.913470621575666,5293,HIGH_DATA
66,DUMBO/Vinegar Hill,Brooklyn,39773.0,8.01875,4960,HIGH_DATA
67,Dyker Heights,Brooklyn,3376.0,1.4918250110472824,2263,MEDIUM_DATA
68,East Chelsea,Manhattan,814203.0,139.63351054707599,5831,HIGH_DATA
